Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
22-09-2009 14:01:16;20309815;Fx-Belastung Comp.;;;;1.0;37.91;0.00;0.00;-37.91;EUR;-37.91;0.00;EUR
21-09-2009 17:16:58;20297878;Kauf;FORN;FORBO N;CH0003541510;30.0;282.25;43.70;0.00;-8'511.20;CHF;-8'511.20;-16'431.74;CHF
21-09-2009 17:08:06;20297549;Kauf;FDJPHU;UBSETF MSCI JAPAN JPY DIS;LU0136240974;250.0;32.30;24.65;0.00;-8'099.65;CHF;-8'099.65;-7'920.54;CHF
21-09-2009 14:34:32;20287298;Verkauf;LYRUS;Lyxor RUSSIA;FR0010339457;150.0;32.70;19.38;0.00;4'885.62;USD;4'885.62;4'906.62;USD
18-09-2009 19:26:06;00000000;Dividende;LYRUS;Lyxor RUSSIA;FR0010339457;1.0;21.00;0.00;0.00;21.00;USD;21.00;21.00;USD
15-09-2009 14:01:22;20201186;Fx-Gutschrift Comp.;;;;1.0;6'965.64;0.00;0.00;6'965.64;USD;6'965.64;0.00;USD
15-09-2009 14:01:22;20201186;Fx-Belastung Comp.;;;;1.0;7'283.70;0.00;0.00;-7'283.70;CHF;-7'283.70;179.11;CHF
14-09-2009 16:19:14;20188360;Kauf;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;150.0;5.54;1.25;0.00;-832.25;USD;-832.25;-6'965.64;USD
14-09-2009 16:19:14;20188360;Kauf;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;100.0;5.54;0.83;0.00;-554.83;USD;-554.83;-6'133.39;USD
14-09-2009 16:19:14;20188360;Kauf;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;900.0;5.54;17.48;0.00;-5'003.48;USD;-5'003.48;-5'578.56;USD
14-09-2009 16:19:13;20188360;Kauf;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;100.0;5.54;26.68;0.00;-580.68;USD;-580.68;-575.08;USD
14-09-2009 11:18:28;00000000;Dividende;WYN;WYNDHAM DESTINATIONS ORD;US98310W1080;1.0;5.60;0.00;0.00;5.60;USD;5.60;5.60;USD
11-09-2009 16:20:46;00000000;Dividende;UBS-CHEqFdEasEu;UBS (CH) Equity Fund - Eastern Europe P;CH0006893843;1.0;37.91;0.00;0.00;37.91;EUR;37.91;37.91;EUR
09-09-2009 14:01:07;20115893;Fx-Gutschrift Comp.;;;;1.0;7'173.55;0.00;0.00;7'173.55;USD;7'173.55;0.00;USD
09-09-2009 14:01:07;20115893;Fx-Belastung Comp.;;;;1.0;7'548.85;0.00;0.00;-7'548.85;CHF;-7'548.85;7'462.81;CHF
08-09-2009 10:23:43;20095071;Kauf;IBZL;iSh MSCI Brazil USD Dis;IE00B0M63516;150.0;47.69;23.10;0.00;-7'176.60;USD;-7'176.60;-7'173.55;USD
02-09-2009 15:34:50;20033773;Verkauf;IUKP;iSh UK Property GBP Dis;IE00B1TXLS18;1000.0;6.20;21.60;0.00;6'178.40;CHF;6'178.40;15'011.66;CHF
02-09-2009 12:44:25;20033702;Verkauf;PRWN;PRECIOUS WOODS N;CH0013283368;150.0;45.75;42.50;0.00;6'820.00;CHF;6'820.00;8'833.26;CHF
27-08-2009 14:27:03;00000000;Dividende;IUKP;iSh UK Property GBP Dis;IE00B1TXLS18;1.0;35.85;0.00;0.00;35.85;CHF;35.85;2'013.26;CHF
01-07-2009 18:21:15;00000000;Zins;;;;1.0;2.55;0.00;0.00;-2.55;USD;-2.55;3.05;USD
01-07-2009 18:21:15;00000000;Zins;;;;1.0;1.55;0.00;0.00;1.55;CHF;1.55;1'977.41;CHF
29-06-2009 17:52:55;00000000;Depotgebühren;;;;1.0;14.89;0.00;0.00;-14.89;CHF;-14.89;1'975.86;CHF
15-06-2009 17:49:00;00000000;Dividende;WYN;WYNDHAM DESTINATIONS ORD;US98310W1080;1.0;5.60;0.00;0.00;5.60;USD;5.60;5.60;USD
11-06-2009 14:01:11;18968899;Fx-Gutschrift Comp.;;;;1.0;4'751.54;0.00;0.00;4'751.54;USD;4'751.54;0.00;USD
11-06-2009 14:01:11;18968899;Fx-Belastung Comp.;;;;1.0;5'175.50;0.00;0.00;-5'175.50;CHF;-5'175.50;1'990.75;CHF
10-06-2009 14:48:33;18954240;Kauf;LYRUS;Lyxor RUSSIA;FR0010339457;150.0;31.55;19.04;0.00;-4'751.54;USD;-4'751.54;-4'751.54;USD
10-06-2009 11:42:56;18950480;Kauf;PRWN;PRECIOUS WOODS N;CH0013283368;150.0;35.00;40.80;0.00;-5'290.80;CHF;-5'290.80;7'166.25;CHF
09-06-2009 14:00:55;18938034;Fx-Gutschrift Comp.;;;;1.0;5'420.14;0.00;0.00;5'420.14;USD;5'420.14;0.00;USD
09-06-2009 14:00:55;18938034;Fx-Belastung Comp.;;;;1.0;5'927.15;0.00;0.00;-5'927.15;CHF;-5'927.15;12'457.05;CHF
08-06-2009 15:45:58;18922929;Kauf;IH2O;iSh Glob Water USD Dis;IE00B1TXK627;300.0;18.00;20.14;0.00;-5'420.14;USD;-5'420.14;-5'420.14;USD
08-06-2009 15:44:10;18925593;Kauf;IUKP;iSh UK Property GBP Dis;IE00B1TXLS18;1000.0;5.10;19.75;0.00;-5'119.75;CHF;-5'119.75;18'384.20;CHF
29-05-2009 16:45:40;18835825;Verkauf;STLN;Swiss Steel Holding AG;CH0005795668;500.0;29.80;63.05;0.00;14'836.95;CHF;14'836.95;23'503.95;CHF
29-05-2009 16:11:24;18835763;Verkauf;DUFN;DUFRY N;CH0023405456;180.0;42.50;42.60;0.00;7'607.40;CHF;7'607.40;8'667.00;CHF
14-05-2009 14:35:06;18608262;Kauf;-LuxDJComIndPlu;CSF (Lux) Commodity Index Plus (Sfr) B;LU0230917477;100.0;66.98;43.55;0.00;-6'741.55;CHF;-6'741.55;1'059.60;CHF
12-05-2009 13:26:59;18584248;Verkauf;NOVN;NOVARTIS N;CH0012005267;180.0;43.00;42.65;0.00;7'697.35;CHF;7'697.35;7'801.15;CHF
27-04-2009 21:00:40;00000000;Dividende;STLN;Swiss Steel Holding AG;CH0005795668;1.0;162.50;0.00;0.00;162.50;CHF;162.50;103.80;CHF
24-04-2009 14:02:54;18332156;Fx-Gutschrift Comp.;;;;1.0;8'143.85;0.00;0.00;8'143.85;CHF;8'143.85;-58.70;CHF
24-04-2009 14:02:54;18332156;Fx-Belastung Comp.;;;;1.0;7'189.84;0.00;0.00;-7'189.84;USD;-7'189.84;0.00;USD
24-04-2009 14:02:54;18332155;Fx-Gutschrift Comp.;;;;1.0;18.25;0.00;0.00;18.25;CHF;18.25;-8'202.55;CHF
24-04-2009 14:02:54;18332155;Fx-Belastung Comp.;;;;1.0;12.13;0.00;0.00;-12.13;EUR;-12.13;0.00;EUR
23-04-2009 09:00:47;18303242;Kauf;DUFN;DUFRY N;CH0023405456;55.0;23.00;0.95;0.00;-1'265.95;CHF;-1'265.95;-8'220.80;CHF
23-04-2009 09:00:47;18303242;Kauf;DUFN;DUFRY N;CH0023405456;125.0;23.00;39.50;0.00;-2'914.50;CHF;-2'914.50;-6'954.85;CHF
23-04-2009 09:00:38;18303259;Kauf;MIKN;MIKRON N;CH0003390066;800.0;5.00;40.35;0.00;-4'040.35;CHF;-4'040.35;-4'040.35;CHF
